Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Time(ms since epoch)
0.000,0.457,-0.434,-0.7660.000,-8.476,-13.720,29.390
0.077,0.441,-0.426,-0.7790.040,-8.293,-12.805,25.061
0.156,0.398,-0.442,-0.8200.079,-2.073,-10.427,10.976
0.235,0.350,-0.429,-0.8390.119,-2.012,-7.683,12.561
0.315,0.300,-0.431,-0.8660.158,-11.646,0.488,25.549
0.394,0.302,-0.387,-0.8240.198,-5.000,1.585,14.939
0.473,0.238,-0.361,-0.8610.238,-11.280,-0.427,23.598
0.552,0.158,-0.226,-0.9200.276,-41.585,-5.244,55.305
0.631,0.190,0.062,-0.6750.317,-30.793,-6.707,40.061
0.710,0.752,0.927,-0.6030.355,-26.402,-4.939,49.817
0.789,0.866,0.488,-0.3260.394,-39.085,-0.244,74.939
0.868,0.661,0.442,-0.5310.434,-39.573,0.976,67.073
0.947,0.576,0.523,-0.6350.473,-47.134,5.061,93.171
1.026,0.448,0.364,-0.7080.513,-33.049,14.390,88.963
1.106,0.234,0.281,-1.0520.553,-30.976,30.305,115.915
1.185,0.132,0.196,-1.0250.592,-56.829,34.268,125.305
1.264,0.146,0.139,-0.9840.632,-43.841,7.561,64.268
1.341,0.157,0.088,-1.0060.671,-55.732,-32.683,46.159
1.420,0.156,0.079,-1.0040.711,-109.146,-77.195,59.756
1.500,0.203,0.017,-1.0000.750,-90.610,-34.207,23.963
1.579,0.264,-0.001,-0.9650.790,-121.646,82.927,5.610
1.658,0.240,0.058,-0.9760.829,-258.354,142.317,0.305
1.737,0.248,0.099,-0.9730.869,-533.902,254.939,-169.817
1.816,0.234,0.141,-0.9910.908,-600.671,642.439,-199.512
1.895,0.226,0.085,-0.9710.948,71.951,84.573,118.354
1.974,0.208,0.076,-0.9810.988,8.902,-137.134,286.646
2.053,0.209,0.076,-1.0001.027,23.049,-37.378,-30.610
2.132,0.239,0.094,-1.0011.067,56.463,-75.488,-66.463
2.212,0.362,0.116,-0.8821.106,46.951,-80.732,-47.195
2.291,0.304,0.193,-0.9551.146,39.451,-81.341,-46.829
2.370,0.290,0.189,-0.9641.185,60.671,-70.244,-43.963
2.449,0.321,0.172,-0.9371.225,134.817,-111.402,-54.939
2.528,0.331,0.183,-0.9401.264,248.598,-107.439,-57.744
2.606,0.330,0.205,-0.9521.304,153.963,-158.110,-108.476
2.685,0.456,0.213,-0.8311.344,90.915,-97.256,-89.146
2.764,0.524,0.229,-0.7911.383,63.476,-18.049,-22.744
2.843,0.435,0.282,-0.8881.423,29.390,-34.085,-17.012
2.922,0.452,0.252,-0.8571.462,20.061,-18.354,-2.561
3.001,0.475,0.247,-0.8391.502,65.732,5.976,1.524
3.080,0.464,0.255,-0.8481.540,31.463,11.707,0.000
3.159,0.456,0.261,-0.8541.579,1.585,0.061,0.122
3.238,0.443,0.269,-0.8651.619,24.512,5.488,1.890
3.317,0.449,0.259,-0.8601.658,32.073,23.049,9.939
3.397,0.465,0.246,-0.8481.698,29.451,36.524,16.463
3.476,0.471,0.248,-0.8561.738,24.634,44.878,29.817
3.555,0.401,0.299,-0.8771.777,-10.305,29.268,26.707
3.634,0.399,0.324,-0.8431.817,-24.756,-9.695,0.793
3.713,0.390,0.328,-0.8531.856,-39.390,-9.024,2.195
3.792,0.366,0.363,-0.8761.896,-32.073,10.183,14.634
3.870,0.379,0.311,-0.8811.935,-34.573,4.329,3.293
3.949,0.391,0.294,-0.8801.975,-29.329,-2.256,-0.793
4.028,0.418,0.264,-0.8722.014,-26.463,-5.671,-0.732
4.107,0.417,0.269,-0.8782.054,15.976,-19.390,11.037
4.186,0.412,0.272,-0.8732.094,52.195,-19.085,20.671
4.265,0.415,0.267,-0.8772.133,5.122,-2.622,3.659
4.344,0.417,0.263,-0.8732.173,0.671,-3.659,-4.634
4.423,0.415,0.265,-0.8752.212,6.037,-0.671,0.305
4.503,0.414,0.263,-0.8792.252,6.159,4.268,2.988
4.582,0.416,0.258,-0.8752.291,2.988,9.390,3.415
4.661,0.411,0.259,-0.8752.331,-25.610,39.268,2.134
4.740,0.388,0.278,-0.8882.370,-88.415,62.805,45.305
4.819,0.346,0.316,-0.8912.410,-51.768,47.622,49.573
4.898,0.344,0.292,-0.8992.450,-6.524,0.000,-2.500
4.977,0.355,0.279,-0.9012.489,-15.183,-34.695,-19.756
5.056,0.354,0.278,-0.8992.529,-7.012,-12.561,-6.890
5.134,0.350,0.281,-0.9042.568,2.622,7.378,6.890
5.213,0.333,0.308,-0.9112.608,1.524,12.500,8.049
5.292,0.301,0.370,-0.9242.647,-6.220,10.061,5.488
5.371,0.259,0.220,-0.9802.687,-5.122,10.854,5.732
5.450,0.346,0.000,-0.9612.726,-4.024,9.695,3.720
5.529,0.450,-0.028,-0.7952.766,-5.671,7.256,0.122
5.608,0.568,0.035,-0.9092.804,-18.476,15.549,2.622
5.688,0.661,-0.195,-0.7512.844,-53.293,37.744,31.098
5.767,0.573,-0.558,-0.5732.883,-40.122,102.805,52.927
5.846,0.414,-0.703,-0.5012.923,-44.024,92.439,55.427
5.925,0.315,-0.766,-0.4872.962,-22.500,-9.939,16.585
6.004,0.348,-0.772,-0.5723.002,-4.451,-55.732,-12.988
6.083,0.281,-0.811,-0.4863.041,-12.439,-43.354,-8.537
6.162,0.218,-0.904,-0.3773.081,0.915,0.122,3.537
6.241,0.109,-0.897,-0.4393.120,2.195,22.683,7.500
6.319,-0.065,-0.899,-0.4183.160,0.793,18.476,7.988
6.398,-0.174,-0.872,-0.4683.200,-2.805,3.293,1.220
6.477,-0.256,-0.865,-0.4793.239,-3.902,-7.927,-3.354
6.556,-0.335,-0.790,-0.4943.279,-0.122,1.159,0.366
6.635,-0.343,-0.814,-0.5393.318,-2.073,-1.220,-0.183
6.714,-0.453,-0.780,-0.4553.358,-0.488,-10.183,-3.598
6.794,-0.628,-0.655,-0.4093.397,-2.439,-12.683,-3.902
6.873,-0.685,-0.613,-0.3943.437,-0.244,-8.354,-0.915
6.952,-0.817,-0.528,-0.3683.476,2.622,0.854,1.463
7.031,-0.919,-0.290,-0.3563.516,2.805,5.610,3.232
7.110,-0.955,0.062,-0.3623.555,3.659,10.671,7.317
7.189,-0.953,0.124,-0.4383.595,-0.549,9.512,9.207
7.268,-0.840,0.283,-0.5083.635,0.122,7.561,9.024
7.347,-0.646,0.634,-0.4613.674,-7.500,-2.622,3.841
7.426,-0.668,0.573,-0.4793.714,-18.963,-23.963,-3.659
7.504,-0.472,0.773,-0.3933.753,-40.793,-43.963,-14.268
7.583,-0.162,0.947,-0.3153.793,-42.439,-70.732,24.451
7.662,0.079,0.950,-0.3123.832,-50.854,-1.951,41.829
7.741,0.336,0.874,-0.3413.872,-8.232,-9.329,1.829
7.820,0.599,0.710,-0.3553.911,-6.280,-3.841,-3.354
7.900,0.800,0.494,-0.3293.951,-15.610,-11.707,-8.476
7.979,0.896,0.198,-0.3013.991,13.720,-6.646,-7.988
8.058,0.952,0.032,-0.3094.030,26.159,6.951,8.659
8.137,0.955,-0.162,-0.3334.068,14.878,-0.427,8.963
8.216,0.923,-0.154,-0.4384.109,12.439,0.793,5.793
8.295,0.813,-0.243,-0.5014.147,13.659,9.268,8.476
8.374,0.801,-0.380,-0.3414.187,12.439,22.256,14.024
8.453,0.804,-0.377,-0.3284.226,17.073,13.720,10.305
8.532,0.854,-0.297,-0.4084.266,8.963,0.488,1.220
8.611,0.854,-0.241,-0.4354.305,-3.476,-1.829,1.037
8.691,0.843,-0.251,-0.4074.345,-6.585,-5.305,-0.488
8.768,0.866,-0.242,-0.3824.385,2.134,2.805,1.280
8.847,0.938,-0.173,-0.2264.424,5.671,3.232,1.280
8.926,0.990,0.084,-0.1384.464,1.768,-0.244,-0.305
9.005,0.958,0.148,-0.1144.503,0.915,0.915,0.488
9.085,0.952,0.082,-0.1424.543,-0.732,1.524,1.524
9.164,0.956,-0.127,-0.1664.582,3.110,0.000,-0.671
9.243,0.920,-0.381,-0.1604.622,0.183,-0.732,-0.610
9.322,0.750,-0.645,-0.1924.661,1.280,0.793,0.915
9.401,0.589,-0.857,-0.2444.701,5.122,-1.463,-1.402
9.480,0.253,-0.895,-0.2914.741,-0.488,0.061,0.000
9.559,-0.019,-0.882,-0.3534.780,0.732,0.976,1.037
9.638,0.064,-0.939,-0.2424.820,0.305,-1.646,-1.037
9.717,0.015,-0.998,-0.2404.859,-2.866,-5.000,-2.012
9.796,-0.208,-0.949,-0.2094.899,-2.439,-9.085,-3.476
9.876,-0.481,-0.847,-0.1424.938,-10.976,-19.451,-7.622
9.953,-0.698,-0.725,-0.1614.978,-25.305,-31.646,-15.061
10.032,-0.895,-0.487,-0.1135.017,-13.598,-22.073,-11.524
10.111,-1.000,-0.231,-0.1465.057,7.988,-5.854,-2.744
10.191,-0.938,-0.135,-0.3695.096,15.732,0.549,-0.976
10.270,-0.719,0.542,-0.4535.136,14.451,7.439,2.012
10.349,-0.657,0.667,-0.4795.176,2.317,1.098,0.915
10.428,-0.569,0.718,-0.3195.215,2.378,-0.305,-0.488
10.507,-0.246,0.870,-0.1945.255,2.500,1.524,0.915
10.586,0.232,1.092,-0.1915.294,0.671,0.549,0.488
10.665,0.456,0.871,-0.2745.332,-1.890,-4.939,-1.951
10.744,0.600,0.706,-0.3675.372,-11.220,-9.878,-3.232
10.823,0.761,0.503,-0.3775.411,-20.183,-15.610,-6.341
10.902,0.816,0.376,-0.3745.451,-31.524,-19.878,-13.110
10.982,0.867,0.287,-0.1985.491,-10.671,-32.683,-6.341
11.061,0.968,0.187,-0.0945.530,58.841,-41.951,18.293
11.138,1.018,0.137,-0.0585.570,74.878,-22.439,10.915
11.217,1.003,-0.084,-0.0945.609,138.659,31.524,3.659
11.296,0.901,-0.366,-0.1415.649,157.256,93.476,10.366
11.376,0.762,-0.577,-0.2275.688,100.427,112.988,6.524
11.455,0.709,-0.655,-0.1915.728,8.537,67.317,0.000
11.534,0.640,-0.708,-0.1185.767,-47.805,-6.220,-16.768
11.613,0.577,-0.787,-0.1525.807,-41.159,36.890,12.744
11.692,0.556,-0.828,-0.3005.846,-88.415,156.707,187.378
11.771,0.145,-0.907,-0.2295.886,15.366,139.390,287.744
11.850,0.144,-0.935,-0.2925.926,163.232,161.098,395.427
11.929,0.130,-0.938,-0.2815.965,96.341,103.232,355.000
12.008,-0.134,-0.988,-0.1796.005,71.402,22.256,200.061
12.087,-0.321,-0.947,-0.1476.044,50.000,-8.659,116.768
12.167,-0.462,-0.841,-0.3226.084,11.037,-45.732,51.951
12.246,-0.548,-0.786,-0.3756.123,3.780,-15.549,41.402
12.323,-0.669,-0.650,-0.4336.163,-1.463,-31.037,16.098
12.402,-0.829,-0.364,-0.4746.202,-20.305,-44.207,0.732
12.482,-0.879,-0.182,-0.4806.242,28.171,-36.463,57.439
12.561,-0.844,-0.223,-0.5266.282,22.988,17.256,28.354
12.640,-0.871,-0.119,-0.3696.321,122.378,76.768,8.354
12.719,-1.017,0.176,-0.1526.361,95.244,101.646,130.793
12.798,-1.008,0.290,-0.2516.400,-35.915,53.354,172.317
12.877,-0.824,0.516,-0.3396.440,-47.744,40.610,126.585
12.956,-0.624,0.750,-0.3716.479,-1.280,-26.829,108.659
13.035,-0.289,0.884,-0.2936.517,-2.561,-9.207,111.707
13.114,-0.242,0.922,-0.3946.557,-37.012,50.488,137.073
13.193,0.114,0.930,-0.2906.596,-39.939,30.610,66.341
13.273,0.299,0.902,-0.3406.636,14.817,17.500,40.000
13.352,0.328,0.874,-0.2826.676,6.280,6.707,96.463
13.431,0.599,0.734,-0.2056.715,-21.890,12.805,102.988
13.508,0.801,0.557,-0.2216.755,-9.756,17.866,66.280
13.587,0.986,0.299,-0.1836.794,-17.683,16.585,-1.524
13.667,0.998,-0.040,-0.0886.834,-45.122,-48.598,-4.329
13.746,0.957,-0.286,-0.1256.873,-28.049,-113.902,32.866
13.825,0.867,-0.404,-0.2416.913,15.854,-82.988,77.012
13.904,0.592,-0.710,-0.2536.952,33.476,-57.073,144.634
13.983,0.585,-0.795,-0.1706.992,11.707,-22.073,135.610
14.062,0.292,-0.922,-0.0717.032,16.951,7.195,70.549
14.141,-0.040,-0.982,-0.0447.071,30.793,-10.915,47.073
14.220,-0.405,-0.918,-0.0447.111,25.488,-32.073,113.049
14.299,-0.717,-0.740,-0.0037.150,-22.317,-41.890,146.951
14.379,-0.875,-0.547,-0.0337.190,-17.988,-36.646,134.451
14.458,-0.873,-0.394,-0.3307.229,15.244,8.476,160.061
14.537,-0.913,-0.167,-0.4227.269,4.146,23.293,320.488
14.616,-0.950,0.083,-0.3087.308,13.659,13.841,261.037
14.693,-0.955,0.054,-0.3347.348,35.305,29.146,118.537
14.773,-0.989,-0.020,-0.3657.388,30.915,41.890,62.866
14.852,-0.910,0.210,-0.3237.427,127.195,36.707,141.646
14.931,-0.646,0.645,-0.5277.467,52.805,34.512,312.805
15.010,-0.338,0.828,-0.4937.506,23.415,-61.524,264.756
15.089,-0.018,0.921,-0.3667.546,18.963,34.512,195.122
15.168,0.294,0.976,-0.2427.585,23.293,30.122,5.305
15.247,0.315,0.921,-0.1967.625,-21.220,14.573,-7.317
15.326,0.244,0.903,-0.2377.664,-133.171,49.939,105.732
15.405,0.381,0.828,-0.2107.702,-131.220,37.866,198.171
15.484,0.810,0.654,-0.1247.743,-95.061,27.683,207.439
15.564,1.020,0.338,-0.0997.782,-96.280,40.061,223.049
15.643,0.967,-0.026,-0.1527.821,-41.341,35.549,281.707
15.722,0.905,-0.175,-0.3617.861,23.780,-8.110,193.293
15.801,0.789,-0.374,-0.4277.900,39.573,-6.402,137.866
15.879,0.639,-0.597,-0.3997.940,20.854,-4.024,270.732
15.958,0.587,-0.664,-0.4267.979,11.220,34.268,242.683
16.037,0.538,-0.696,-0.4098.019,32.195,-0.305,146.829
16.116,0.546,-0.670,-0.4588.058,30.549,6.159,260.793
16.195,0.571,-0.638,-0.4588.098,15.183,24.024,236.951
16.274,0.543,-0.647,-0.4628.138,-9.878,42.683,171.890
16.353,0.630,-0.510,-0.6378.177,16.585,14.085,266.159
16.432,0.722,-0.307,-0.6788.217,49.756,9.024,233.232
16.511,0.700,-0.201,-0.5798.256,72.866,19.146,88.720
16.590,0.718,-0.012,-0.6808.296,42.805,46.646,41.402
16.670,0.782,0.070,-0.6918.335,20.183,-7.073,65.122
16.749,0.734,0.151,-0.5948.375,-16.829,-134.878,157.988
16.828,0.734,0.184,-0.6448.414,-73.171,-47.012,102.866
16.907,0.735,0.196,-0.6518.454,-213.841,17.683,145.305
16.986,0.710,0.246,-0.6618.493,-158.476,-3.963,137.134
17.064,0.625,0.231,-0.7478.533,-19.573,65.366,1.951
17.143,0.525,0.229,-0.7988.573,46.159,40.671,47.500
17.222,0.523,0.384,-0.7978.612,11.341,37.744,49.085
17.301,0.513,0.379,-0.7628.652,-1.220,11.829,12.256
17.380,0.518,0.347,-0.7798.691,-13.049,-24.817,-32.866
17.459,0.515,0.332,-0.7458.731,44.268,-16.585,-21.768
17.538,0.704,0.365,-0.6488.770,20.915,-14.207,-10.366
17.617,0.591,0.400,-0.7128.810,-35.305,-23.720,-21.585
17.696,0.511,0.348,-0.7598.849,-35.610,1.341,-7.500
17.775,0.526,0.354,-0.7878.889,-41.890,26.159,-5.122
17.855,0.475,0.365,-0.8048.929,-39.085,9.268,-12.988
17.934,0.415,0.317,-0.8728.967,20.610,51.280,11.768
18.013,0.308,0.266,-0.9219.006,24.512,47.622,-44.756
18.092,0.221,0.229,-0.9479.046,43.354,74.695,-136.951
18.171,0.231,0.222,-0.9629.085,85.854,101.463,-207.317
18.249,0.242,0.221,-0.9629.125,38.354,92.927,-166.829
18.328,0.286,0.173,-0.9589.164,7.439,63.354,-150.244
18.407,0.313,0.123,-0.9339.204,1.768,6.829,-76.463
18.486,0.294,0.168,-0.9549.243,-5.244,-25.915,50.671
18.565,0.282,0.182,-0.9589.283,30.305,-25.000,216.646
18.644,0.279,0.186,-0.9499.323,11.890,-55.244,84.695
18.723,0.283,0.185,-0.9509.362,8.659,-26.707,18.902
18.802,0.284,0.184,-0.9539.402,42.073,-15.000,149.268
18.881,0.289,0.173,-0.9519.441,72.134,28.963,226.341
18.961,0.292,0.172,-0.9529.481,38.841,24.695,321.402
19.040,0.294,0.163,-0.9519.520,5.549,-3.841,299.878
19.119,0.295,0.164,-0.9499.560,-26.646,-40.549,185.183
19.198,0.304,0.159,-0.9449.599,-70.793,-8.720,114.207
19.277,0.322,0.164,-0.9179.639,-151.768,19.451,237.561
19.356,0.445,0.331,-0.8779.679,-25.671,43.049,285.549
19.434,0.437,0.318,-0.8399.718,2.134,49.878,167.622
19.513,0.411,0.287,-0.8679.758,-45.915,90.061,156.463
19.592,0.418,0.335,-0.8569.797,30.183,-59.146,63.902
19.671,0.444,0.395,-0.8129.837,48.354,-107.378,-37.317
19.750,0.500,0.413,-0.7529.876,4.878,-50.915,5.793
